Id,indegree,outdegree
MEDEIROS Tiago Vidal,0,92
AARÃO REIS Daniel,3,0
SILVA Natanael de Freitas,7,415
ASSIS Eduardo Moreira,4,0
ABELOVE Henry,5,0
BRANDÃO Renata Rodrigues,2,117
JESUS Cassiano Celestino,3,57
KUMPERA Julia Aleksandra Martucci,3,95
ROCHA Cassio Bruno de Araujo,6,323
SANTOS Daniel Barbosa dos,0,0
SOUZA Mariana Barbosa,0,99
VIANNA Eliza da Silva,9,0
ABOIM Sofia,0,0
VIEIRA Kyara Maria de Almeida,4,0
CORREA Ester Candida,0,24
ABRAMOVAY Miriam,2,0
SILVA Tiago Vidal da,0,91
AGUIAR Juno Nedel Mendes de,1,90
ABREU Alzira Alves de,4,0
BORTOLON Flavia,0,59
LIRA Jefferson Maciel,0,35
REIS Gabbiana Clamer Fonseca Falavigna dos,0,121
CARDOSO Guilherme da Silva,1,53
ABREU Caio Fernando,5,0
DALLASTA Rodrigo Bonatto,0,75
GOMES Elisa Mariana de Medeiros Nobrega,0,0
NASCIMENTO Cicera Maria castro do,0,59
NASCIMENTO Dilene Raimundo,13,0
RODRIGUES Rita de Cassia Colaco,24,0
SILVA Walber Ferreira da,0,50
SOUSA NETO Miguel Rodrigues de,16,0
SOUZA Italo Cristiano Silva e,0,0
VASCONCELOS Osvaldo,0,139
JESUS Iara da Silva,0,45
ABREU João Capistrano de,4,0
GOMES Veronica de Jesus,7,143
LIMA Wallas Jefferson de,3,95
SILVA Ronaldo Manoel da,5,42
VIANA JR Mario Martins,0,0
DIAS Claudio Jose Piotrovski,0,0
ABREU João Francisco,1,0
QUEIROZ Marcos Tadeu Pereira de,0,28
ANDRADE Marciano Vieira,5,96
ABREU Manoel,1,0
MAIOR JR Paulo Roberto Souto,11,267
ABREU Márcia,4,0
NASCIMENTO Anne Raquel da Silva,0,54
NOBREGA Isabela Silva,0,85
FERREIRA Tiago da Silva,1,19
ABREU Martha,6,0
NASCIMENTO Álvaro Pereira,2,0
SOARES Bruno Cesar Brulon,0,97
BRITO Alexandre Magno Maciel Costa e,5,77
GALLINA Justina Franchi,0,0
GONCALVES Jose Claudio Leoncio,0,12
GOMES JR João,4,124
ABREU Maurício de Almeida,1,0
CORREA William Bruno,0,9
ABREU Nuno César Pereira de,5,0
COSTA Gerferson Damasceno,0,57
SILVA Fabio Ronaldo da,0,77
AMARILLO Claudia Patricia Rivera,0,0
ABUD Katia Maria,3,0
MEDEIROS Talita Goncalves,0,60
CUEVAS Clara Eliana,0,36
ACHA Omar,2,0
PINTO Rhanielly Pereira do Nascimento,0,85
MARTINELLI Leonardo da Silva,0,94
ACHARD Pierre,1,0
SELEM Maria Celia Orlato,2,0
AFONSO Ana Paula Jardim Martins,0,60
ADELMAN Miriam,4,0
MARIUSSO Victor Hugo da Silva Gomes,6,102
SANTOS Fernanda Cassia dos,0,0
TOLEDO Eliza Teixeira de,0,73
AFONSO Pablo Andrade,0,31
ADICHIE Chimamanda Ngozi,3,0
DAVI Edmar Henrique D,2,0
ADORNO Sérgio,1,0
KOREN Jonas Christmann,0,16
BARATA Germana Fernandes,6,0
ADORNO Theodor,3,0
MARTINS Carla Cristina Siqueira,0,134
MOTA Frederico Alves,0,0
NOGUEIRA Joanna Ribeiro,0,98
PETERS Carlos Eduardo Marotta,0,0
CASTRO Alana Albuquerque de,0,63
ADRIÃO Karla Galvão,2,0
SANTOS Paulo Henrique Souza dos,0,45
AESCHINES,0,0
